"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"Y1";"Oscillator_SMD_TXC_7C-4Pin_5.0x3.2mm";1;"Crystal_GND24";;;
2;"U10,U9,U8,U7,U6,U5";"SOIC-14_3.9x8.7mm_P1.27mm";6;"LM324";;;
3;"U4";"SOIC-24W_7.5x15.4mm_P1.27mm";1;"CD74HC4067M";;;
4;"U3";"ESP-12E";1;"ESP-12E";;;
5;"U2";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340G";;;
6;"U1";"SOT-23-5";1;"SPX3819M5-L-3-3";;;
7;"SW1";"R_1206_3216Metric";1;"SW_Push";;;
8;"R78,R77,R9,R8";"R_1206_3216Metric";4;"470 Ω";;;
9;"R76,R75,R74,R73,R72,R71,R70,R69,R68,R67,R44,R43,R42,R41,R40,R39,R38,R37,R36,R35";"R_1206_3216Metric";20;"8,2 kΩ";;;
10;"R66,R65,R64,R63,R62,R61,R60,R59,R58,R57,R34,R33,R32,R31,R30,R29,R28,R27,R26,R25";"R_1206_3216Metric";20;"1,2 kΩ";;;
11;"R56,R55,R54,R53,R52,R51,R24,R23,R22,R21,R20,R19";"R_1206_3216Metric";12;"1 kΩ";;;
12;"R50,R49,R48,R47,R46,R45,R18,R17,R16,R15,R14,R13,R12";"R_1206_3216Metric";13;"100 kΩ";;;
13;"R11";"R_1206_3216Metric";1;"220 kΩ";;;
14;"R10";"R_1206_3216Metric";1;"0 Ω (NC)";;;
15;"R7,R6,R5,R4,R3,R2";"R_1206_3216Metric";6;"12 kΩ";;;
16;"R1";"R_1206_3216Metric";1;"12 k";;;
17;"Q2,Q1";"TO-92_Inline";2;"S8050";;;
18;"J4,J3";"TerminalBlock_bornier-6_P5.08mm";2;"Conn_01x06_Female";;;
19;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
20;"J1";"USB_Micro-B_Molex-105133-0001";1;"USB_B_Micro";;;
21;"D2";"LED_1206_3216Metric";1;"LED";;;
22;"C17,C16,C15,C14,C13,C12,C7";"C_1206_3216Metric";7;"100 nF";;;
23;"C10,C9";"C_1206_3216Metric";2;"22 pF";;;
24;"C8";"C_Radial_D10.0mm_H20.0mm_P5.00mm";1;"100 uF";;;
25;"C6,C3";"C_1206_3216Metric";2;"10 uF";;;
26;"C5,C4,C2";"C_1206_3216Metric";3;"470 pF";;;
27;"C1";"C_1206_3216Metric";1;"1 pF";;;
